PLAYER,TEAM,GP,MIN,STL,BLK,STL_per36,BLK_per36,Disruption_Index
Kevin Durant,PHX,62,2265,50,77,0.794701986754967,1.223841059602649,2.0185430463576157
Donte DiVincenzo,MIN,62,1606,73,17,1.6363636363636365,0.38107098381070986,2.0174346201743463
Duop Reath,POR,46,469,12,14,0.9211087420042644,1.0746268656716418,1.9957356076759063
Ivica Zubac,LAC,80,2624,55,90,0.7545731707317074,1.2347560975609757,1.989329268292683
Royce O'Neale,PHX,75,1837,67,34,1.3130103429504627,0.6663037561241154,1.9793140990745781
Nick Richards,PHX,57,1256,14,55,0.40127388535031844,1.5764331210191083,1.9777070063694266
Jaime Jaquez Jr.,MIA,66,1368,61,14,1.6052631578947367,0.3684210526315789,1.9736842105263157
Olivier-Maxence Prosper,DAL,52,584,26,6,1.6027397260273972,0.3698630136986301,1.9726027397260273
Moses Moody,GSW,74,1649,59,31,1.2880533656761672,0.6767738023044269,1.964827167980594
Chris Paul,SAS,82,2292,103,22,1.617801047120419,0.3455497382198953,1.9633507853403143
Oso Ighodaro,PHX,61,1046,28,29,0.9636711281070747,0.9980879541108987,1.9617590822179733
Ben Simmons,LAC,51,1120,38,23,1.2214285714285713,0.7392857142857143,1.9607142857142856
Jonas Valančiūnas,SAC,81,1524,37,46,0.8740157480314961,1.0866141732283465,1.9606299212598426
Jimmy Butler III,GSW,55,1746,77,18,1.5876288659793816,0.3711340206185567,1.9587628865979383
Jordan McLaughlin,SAS,46,314,16,1,1.8343949044585988,0.11464968152866242,1.9490445859872612
Vít Krejčí,ATL,57,1153,36,26,1.124024284475282,0.8117953165654813,1.9358196010407633
Gary Harris,ORL,48,711,26,12,1.3164556962025316,0.6075949367088607,1.9240506329113922
D'Angelo Russell,BKN,58,1480,56,23,1.3621621621621622,0.5594594594594595,1.9216216216216218
Cam Whitmore,HOU,51,827,31,13,1.3494558645707375,0.56590084643289,1.9153567110036276
Brandon Miller,CHA,27,924,29,20,1.12987012987013,0.7792207792207791,1.9090909090909092
Kevin Huerter,CHI,69,1679,66,23,1.41512805241215,0.4931506849315068,1.9082787373436567
Mike Conley,MIN,71,1756,79,14,1.6195899772209565,0.2870159453302962,1.9066059225512526
Wendell Carter Jr.,ORL,68,1758,52,41,1.0648464163822526,0.8395904436860068,1.9044368600682593
Justin Edwards,PHI,44,1155,45,16,1.4025974025974026,0.4987012987012987,1.9012987012987013
Jeremy Sochan,SAS,54,1364,45,27,1.1876832844574778,0.7126099706744868,1.9002932551319647
Miles McBride,NYK,64,1593,67,17,1.5141242937853108,0.384180790960452,1.8983050847457628
Jared Butler,PHI,60,1044,42,13,1.4482758620689655,0.44827586206896547,1.896551724137931
Al Horford,BOS,60,1659,36,51,0.7811934900542495,1.1066907775768535,1.8878842676311032
Jordan Miller,LAC,37,420,17,5,1.4571428571428573,0.42857142857142855,1.885714285714286
Ronald Holland II,DET,81,1266,49,17,1.3933649289099526,0.4834123222748815,1.876777251184834
Jabari Walker,POR,60,749,33,6,1.5861148197596795,0.2883845126835781,1.8744993324432575
Tre Jones,CHI,46,905,37,10,1.4718232044198896,0.39779005524861877,1.8696132596685082
De'Aaron Fox,SAS,62,2241,91,25,1.4618473895582331,0.40160642570281124,1.8634538152610443
Julian Phillips,CHI,79,1123,38,20,1.2181656277827249,0.6411398040961709,1.8593054318788957
Jonathan Kuminga,GSW,47,1144,38,21,1.1958041958041958,0.6608391608391608,1.8566433566433567
Jamal Murray,DEN,67,2418,91,33,1.3548387096774195,0.49131513647642683,1.8461538461538463
Trey Murphy III,NOP,53,1854,56,39,1.087378640776699,0.7572815533980582,1.8446601941747574
Tosan Evbuomwan,BKN,28,665,24,10,1.299248120300752,0.5413533834586466,1.8406015037593986
Khris Middleton,WAS,37,843,35,8,1.494661921708185,0.3416370106761566,1.8362989323843415
Patrick Williams,CHI,63,1576,48,32,1.0964467005076142,0.7309644670050761,1.8274111675126903
Ochai Agbaji,TOR,64,1739,58,30,1.2006900517538814,0.621046578493387,1.8217366302472684
Cade Cunningham,DET,70,2452,71,53,1.0424143556280587,0.7781402936378466,1.8205546492659055
Marcus Sasser,DET,57,811,37,4,1.6424167694204685,0.17755856966707767,1.8199753390875462
Bradley Beal,PHX,53,1702,58,28,1.226792009400705,0.5922444183313749,1.8190364277320799
Cameron Payne,NYK,72,1090,39,16,1.288073394495413,0.5284403669724771,1.8165137614678901
Josh Hart,NYK,77,2897,119,27,1.4787711425612704,0.33551950293406974,1.81429064549534
Donovan Mitchell,CLE,71,2232,95,17,1.532258064516129,0.27419354838709675,1.8064516129032258
Wendell Moore Jr.,CHA,36,499,20,5,1.442885771543086,0.3607214428857715,1.8036072144288575
Kris Murray,POR,69,1040,35,17,1.2115384615384615,0.5884615384615385,1.7999999999999998
Pelle Larsson,MIA,55,782,32,7,1.473145780051151,0.32225063938618925,1.7953964194373402
Jevon Carter,CHI,36,321,13,3,1.4579439252336448,0.3364485981308411,1.794392523364486
Patty Mills,LAC,29,321,13,3,1.4579439252336448,0.3364485981308411,1.794392523364486
Keegan Murray,SAC,76,2610,61,69,0.8413793103448276,0.9517241379310345,1.793103448275862
Julian Champagnie,SAS,82,1932,61,35,1.1366459627329193,0.6521739130434783,1.7888198757763976
Nikola Vučević,CHI,73,2278,61,52,0.9640035118525022,0.8217734855136084,1.7857769973661106
Quinten Post,GSW,42,686,16,18,0.8396501457725948,0.9446064139941691,1.784256559766764
Dean Wade,CLE,59,1253,42,20,1.2067039106145252,0.5746209098164405,1.7813248204309657
Reggie Jackson,PHI,31,384,16,3,1.5,0.28125,1.78125
Baylor Scheierman,BOS,31,384,17,2,1.59375,0.1875,1.78125
Anthony Edwards,MIN,79,2871,91,51,1.141065830721003,0.6394984326018809,1.780564263322884
Eric Gordon,PHI,39,769,26,12,1.2171651495448634,0.5617685305591678,1.7789336801040312
Garrison Mathews,ATL,47,830,26,15,1.1277108433734941,0.6506024096385542,1.7783132530120485
Buddy Hield,GSW,82,1863,69,23,1.3333333333333333,0.4444444444444444,1.7777777777777777
Isaac Jones,SAC,40,304,5,10,0.5921052631578947,1.1842105263157894,1.776315789473684
Kyrie Irving,DAL,50,1804,66,23,1.3170731707317072,0.458980044345898,1.7760532150776052
Deni Avdija,POR,72,2161,71,35,1.182785747339195,0.5830633965756594,1.7658491439148545
Jrue Holiday,BOS,62,1896,66,27,1.2531645569620253,0.5126582278481012,1.7658227848101267
Bobby Portis,MIL,49,1244,35,26,1.0128617363344052,0.752411575562701,1.7652733118971062
Cory Joseph,ORL,50,612,26,4,1.5294117647058825,0.23529411764705882,1.7647058823529413
Desmond Bane,ORL,69,2205,80,28,1.306122448979592,0.45714285714285713,1.763265306122449
Andre Jackson Jr.,MIL,67,980,34,14,1.2489795918367346,0.5142857142857142,1.7632653061224488
Stephen Curry,GSW,70,2252,80,30,1.2788632326820604,0.4795737122557726,1.758436944937833
Lindy Waters III,DET,52,778,27,11,1.2493573264781492,0.5089974293059125,1.7583547557840618
Santi Aldama,MEM,65,1660,52,29,1.1277108433734941,0.6289156626506025,1.7566265060240966
Maxwell Lewis,BKN,28,328,9,7,0.9878048780487805,0.7682926829268293,1.7560975609756098
Ajay Mitchell,OKC,36,597,25,4,1.5075376884422111,0.24120603015075376,1.7487437185929648
Zaccharie Risacher,ATL,75,1843,52,37,1.0157352143244711,0.7227346717308736,1.7384698860553447
Malik Monk,SAC,65,2054,61,38,1.0691333982473223,0.6660175267770204,1.7351509250243429
Karl-Anthony Towns,NYK,72,2517,71,50,1.0154946364719906,0.7151370679380215,1.730631704410012
Ja Morant,MEM,50,1519,61,12,1.445687952600395,0.2843976300197498,1.730085582620145
Ja'Kobe Walter,TOR,52,1103,43,10,1.403445149592022,0.3263825929283771,1.7298277425203992
Obi Toppin,IND,79,1545,46,28,1.0718446601941747,0.6524271844660194,1.7242718446601941
Andrew Nembhard,IND,65,1881,79,11,1.5119617224880382,0.21052631578947367,1.7224880382775118
Sam Merrill,CLE,71,1401,53,14,1.3618843683083512,0.35974304068522484,1.7216274089935761
Brandin Podziemski,GSW,64,1716,69,13,1.4475524475524475,0.2727272727272727,1.7202797202797202
Bruce Brown,NOP,41,922,34,10,1.3275488069414316,0.39045553145336226,1.7180043383947938
Quentin Grimes,PHI,75,2013,74,22,1.323397913561848,0.39344262295081966,1.7168405365126678
DaQuan Jeffries,CHA,47,1071,26,25,0.8739495798319328,0.8403361344537815,1.7142857142857144
KJ Simpson,CHA,36,842,34,6,1.453681710213777,0.25653206650831356,1.7102137767220904
Franz Wagner,ORL,60,2023,75,21,1.3346515076618883,0.37370242214532867,1.708353929807217
Trey Lyles,SAC,69,1350,41,23,1.0933333333333333,0.6133333333333334,1.7066666666666666
Grayson Allen,PHX,64,1544,54,19,1.2590673575129534,0.4430051813471503,1.7020725388601037
Josh Green,CHA,68,1888,74,15,1.4110169491525424,0.2860169491525424,1.6970338983050848
Kenrich Williams,OKC,69,1132,43,10,1.3674911660777385,0.3180212014134276,1.685512367491166
Jamal Shead,TOR,75,1467,58,10,1.4233128834355828,0.24539877300613497,1.6687116564417177
Aaron Nesmith,IND,45,1122,35,17,1.1229946524064172,0.5454545454545454,1.6684491978609626
Scoot Henderson,POR,66,1759,68,13,1.3916998294485503,0.26606026151222284,1.6577600909607733
Jock Landale,HOU,42,500,13,10,0.9359999999999999,0.72,1.656
Kyle Filipowski,UTA,72,1522,48,22,1.1353482260183967,0.5203679369250985,1.655716162943495
Jericho Sims,MIL,53,631,10,19,0.5705229793977813,1.0839936608557845,1.6545166402535658
Gui Santos,GSW,56,762,25,10,1.1811023622047243,0.47244094488188976,1.6535433070866141
Christian Braun,DEN,79,2675,85,37,1.1439252336448598,0.49794392523364484,1.6418691588785046
Isaac Okoro,CLE,55,1053,32,16,1.0940170940170941,0.5470085470085471,1.6410256410256412
Aaron Wiggins,OKC,76,1744,60,18,1.2385321100917432,0.37155963302752293,1.6100917431192663
Max Christie,DAL,78,2127,64,31,1.083215796897038,0.5246826516220028,1.6078984485190406
LeBron James,LAL,70,2444,70,39,1.0310965630114566,0.5744680851063829,1.6055646481178396
Isaiah Collier,UTA,71,1839,66,16,1.292006525285481,0.3132137030995106,1.6052202283849917
Dorian Finney-Smith,LAL,63,1819,58,23,1.147883452446399,0.45519516217702033,1.6030786146234193
