PLAYER,TEAM,GP,MIN,PTS,REB_pg,AST_pg,STL_pg,BLK_pg,StatStuffer_pg,REB_per36,AST_per36,STL_per36,BLK_per36,StatStuffer_per36
Neemias Queta,BOS,62,863,310,3.806451612903226,0.7258064516129032,0.2903225806451613,0.6774193548387096,5.5,9.844727694090384,1.8771726535341833,0.7508690614136733,1.7520278099652375,14.224797219003479
Collin Gillespie,PHX,33,461,194,2.3636363636363638,2.3636363636363638,0.6363636363636364,0.15151515151515152,5.515151515151516,6.091106290672451,6.091106290672451,1.6399132321041217,0.39045553145336226,14.212581344902386
Jimmy Butler III,GSW,55,1746,964,5.381818181818182,5.418181818181818,1.4,0.32727272727272727,12.52727272727273,6.103092783505155,6.144329896907217,1.5876288659793816,0.3711340206185567,14.20618556701031
Precious Achiuwa,NYK,57,1170,379,5.56140350877193,0.9649122807017544,0.8245614035087719,0.7368421052631579,8.087719298245615,9.753846153846153,1.6923076923076923,1.4461538461538463,1.2923076923076922,14.184615384615384
Jock Landale,HOU,42,500,200,3.261904761904762,0.8809523809523809,0.30952380952380953,0.23809523809523808,4.69047619047619,9.864,2.6639999999999997,0.9359999999999999,0.72,14.184000000000001
Jalen Williams,OKC,69,2237,1490,5.3478260869565215,5.130434782608695,1.608695652173913,0.6666666666666666,12.753623188405795,5.938310236924452,5.696915511846223,1.7863209655789003,0.7402771569065713,14.161823871256148
Tre Jones,CHI,46,905,330,2.5217391304347827,4.173913043478261,0.8043478260869565,0.21739130434782608,7.717391304347826,4.614364640883978,7.6375690607734805,1.4718232044198896,0.39779005524861877,14.121546961325967
Julius Randle,MIN,69,2226,1288,7.057971014492754,4.681159420289855,0.6811594202898551,0.2318840579710145,12.652173913043478,7.87601078167116,5.223719676549865,0.7601078167115903,0.2587601078167116,14.118598382749326
Khris Middleton,WAS,37,843,440,3.7027027027027026,4.054054054054054,0.9459459459459459,0.21621621621621623,8.91891891891892,5.850533807829182,6.405693950177937,1.494661921708185,0.3416370106761566,14.092526690391459
Colin Castleton,TOR,26,432,123,4.6923076923076925,1.0769230769230769,0.3076923076923077,0.38461538461538464,6.461538461538462,10.166666666666666,2.333333333333333,0.6666666666666666,0.8333333333333333,14.0
Jaime Jaquez Jr.,MIA,66,1368,570,4.393939393939394,2.515151515151515,0.9242424242424242,0.21212121212121213,8.045454545454545,7.631578947368421,4.368421052631579,1.6052631578947367,0.3684210526315789,13.973684210526315
Thomas Bryant,IND,66,963,429,3.803030303030303,0.803030303030303,0.42424242424242425,0.6212121212121212,5.651515151515151,9.383177570093459,1.9813084112149533,1.046728971962617,1.5327102803738317,13.943925233644862
Christian Koloko,LAL,37,342,90,2.4864864864864864,0.43243243243243246,0.21621621621621623,0.43243243243243246,3.5675675675675675,9.68421052631579,1.6842105263157894,0.8421052631578947,1.6842105263157894,13.894736842105262
Dwight Powell,DAL,55,551,114,2.1454545454545455,1.0,0.32727272727272727,0.38181818181818183,3.8545454545454545,7.70961887477314,3.5934664246823953,1.176043557168784,1.3720508166969145,13.851179673321234
Kristaps Porziņģis,BOS,42,1210,818,6.761904761904762,2.0714285714285716,0.7380952380952381,1.5,11.071428571428573,8.449586776859503,2.5884297520661157,0.9223140495867769,1.8743801652892562,13.834710743801653
Justin Champagnie,WAS,62,1341,544,5.661290322580645,0.967741935483871,1.0483870967741935,0.6290322580645161,8.306451612903226,9.422818791946309,1.6107382550335572,1.74496644295302,1.0469798657718121,13.825503355704697
Jabari Walker,POR,60,749,313,3.5166666666666666,0.6166666666666667,0.55,0.1,4.783333333333332,10.141522029372496,1.7783711615487316,1.5861148197596795,0.2883845126835781,13.794392523364484
Cole Anthony,MEM,67,1234,630,3.044776119402985,2.8507462686567164,0.6716417910447762,0.47761194029850745,7.044776119402985,5.951377633711508,5.572123176661265,1.3128038897893028,0.9335494327390599,13.769854132901136
Lonzo Ball,CHI,35,777,267,3.3714285714285714,3.2857142857142856,1.3428571428571427,0.4857142857142857,8.485714285714284,5.467181467181468,5.328185328185328,2.1776061776061777,0.7876447876447876,13.76061776061776
