PLAYER,TEAM,GP,MIN,OREB,DREB,REB,OREB_Load,DREB_Load,REB_Load
Caleb Martin,DAL,45,1218,53,124,177,5.626326963906582,4.320557491289199,4.643231899265477
Amir Coffey,LAC,72,1748,32,129,161,4.030226700251889,4.813432835820895,4.634427173287277
AJ Green,MIL,73,1659,18,156,174,2.4896265560165975,5.145118733509235,4.633821571238348
Duncan Robinson,MIA,74,1786,18,149,167,2.25,5.310049893086244,4.631170271769274
Davion Mitchell,MIA,74,2027,35,132,167,4.375,4.704205274411975,4.631170271769274
Jordan Hawkins,NOP,56,1320,25,133,158,2.6288117770767614,5.358581788879936,4.6023885814156715
Bogdan Bogdanović,LAC,54,1348,24,135,159,3.022670025188917,5.037313432835821,4.576856649395509
Jerami Grant,POR,47,1524,26,137,163,2.4413145539906105,5.432196669310072,4.544187343183719
Quinten Post,GSW,42,686,35,113,148,3.763440860215054,4.782056707575117,4.49438202247191
Julian Phillips,CHI,79,1123,67,102,169,7.799767171129219,3.508771929824561,4.487519915029209
Gary Trent Jr.,MIL,74,1893,20,148,168,2.7662517289073305,4.881266490765172,4.474034620505992
Tristan Vukcevic,WAS,35,513,26,104,130,3.9215686274509802,4.630454140694568,4.46888965280165
